"husband, man",mutum,"Part of Speech: noun
Gender: masculine
Hebrew Cognate: מְתֵי (pl. cons of men (מְתִים))","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"river, canal",nārum,"Part of Speech: noun
Gender: feminine
Hebrew Cognate: נָהָר (river, stream)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
wool,šīpātum,"Part of Speech: noun
Gender: feminine
Note: always plural","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"(clay) tablet, document, letter",ṭuppum,"Part of Speech: noun
Gender: masculine and feminine
Note: plural ṭuppū and ṭuppātum; a sumerian loan word","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
mother,ummum,"Part of Speech: noun
Gender: feminine
Hebrew Cognate: אֵם (mother)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
ear,uznum,"Part of Speech: noun
Gender: feminine
Hebrew Cognate: אֹזֶן (ear)
Additional Meanings: wisdom, understanding","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"wisdom, understanding",uznum,"Part of Speech: noun
Gender: feminine
Hebrew Cognate: אֹזֶן (ear)
Additional Meanings: ear","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"to, for, at",ana,Part of Speech: preposition,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"in, among, by, with, from",ina,Part of Speech: preposition,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"from, out of",ištu,Part of Speech: preposition,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"with, in the company of",itti,Part of Speech: preposition,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 2",Akkadian Akkadian::Lesson2 Akkadian::Vocabulary Vocabulary
"soldier, worker",ṣābum,"Part of Speech: noun
Gender: masculine
Hebrew Cognate: צָבָא (troops)
Additional Meanings: gang, army, troop","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian::Lesson1 Akkadian::Vocabulary Vocabulary
